SampleID,Pot,Plant,Farm,Treatment,Timepoint
1-1A,LY10C,Clover,LY,FC,1
2-1B,LY10H,Holcus,LY,FC,1
3-1C,LY11C,Clover,LY,CC,2
4-1D,LY11H,Holcus,LY,CC,2
5-1E,LY12C,Clover,LY,DF,1
6-1F,LY13C,Clover,LY,FF,2
7-1G,LY13H,Holcus,LY,FF,2
8-1H,LY14C,Clover,LY,DD,2
9-2A,LY14H,Holcus,LY,DD,2
10-2B,LY15C,Clover,LY,DF,1
11-2C,LY15H,Holcus,LY,DF,1
12-2D,LY16C,Clover,LY,DD,1
13-2E,LY16H,Holcus,LY,DD,1
14-2F,LY17C,Clover,LY,CD,2
15-2G,LY17H,Holcus,LY,CD,2
16-2H,LY18C,Clover,LY,DC,2
17-3A,LY18H,Holcus,LY,DC,2
18-3B,LY19C,Clover,LY,CC,1
19-3C,LY19H,Holcus,LY,CC,1
20-3D,LY20C,Clover,LY,DD,2
21-3E,LY21H,Holcus,LY,FF,2
22-3F,LY22H,Holcus,LY,CF,1
23-3G,LY23C,Clover,LY,DC,1
24-3H,LY23H,Holcus,LY,DC,1
25-4A,LY24C,Clover,LY,CF,2
26-4B,LY24H,Holcus,LY,CF,2
27-4C,LY25C,Clover,LY,FF,1
28-4D,LY25H,Holcus,LY,FF,1
29-4E,LY26C,Clover,LY,FC,1
30-4F,LY26H,Holcus,LY,FC,1
31-4G,LY27C,Clover,LY,FC,2
32-4H,LY27H,Holcus,LY,FC,2
33-5A,LY28C,Clover,LY,CD,1
34-5B,LY28H,Holcus,LY,CD,1
35-5C,LY29C,Clover,LY,DC,2
36-5D,LY29H,Holcus,LY,DC,2
37-5E,LY30C,Clover,LY,CD,2
38-5F,LY30H,Holcus,LY,CD,2
39-5G,LY31C,Clover,LY,CF,2
40-5H,LY31H,Holcus,LY,CF,2
41-6A,LY32C,Clover,LY,CC,1
42-6B,LY32H,Holcus,LY,CC,1
43-6C,LY33C,Clover,LY,CF,1
44-6D,LY33H,Holcus,LY,CF,1
45-6E,LY34C,Clover,LY,DC,1
46-6F,LY34H,Holcus,LY,DC,1
47-6G,LY36C,Clover,LY,CC,2
48-6H,LY36H,Holcus,LY,CC,2
49-7A,LY37C,Clover,LY,FF,1
50-7B,LY37H,Holcus,LY,FF,1
51-7C,LY38C,Clover,LY,FD,1
52-7D,LY38H,Holcus,LY,FD,1
53-7E,LY39C,Clover,LY,DD,1
54-7F,LY39H,Holcus,LY,DD,1
55-7G,LY3C,Clover,LY,CD,1
56-7H,LY3H,Holcus,LY,CD,1
57-8A,LY4C,Clover,LY,FD,2
58-8B,LY4H,Holcus,LY,FD,2
59-8C,LY5C,Clover,LY,DF,2
60-8D,LY5H,Holcus,LY,DF,2
61-8E,LY6C,Clover,LY,FC,2
62-8F,LY6H,Holcus,LY,FC,2
63-8G,LY7C,Clover,LY,FD,2
64-8H,LY7H,Holcus,LY,FD,2
65-9A,LY8C,Clover,LY,FD,1
66-9B,LY8H,Holcus,LY,FD,1
67-9C,LY9H,Holcus,LY,DF,2
68-9D,WX10C,Clover,WX,DD,1
69-9E,WX10H,Holcus,WX,DD,1
70-9F,WX11C,Clover,WX,FF,1
71-9G,WX11H,Holcus,WX,FF,1
72-9H,WX12C,Clover,WX,DF,1
73-10A,WX12H,Holcus,WX,DF,1
74-10B,WX13C,Clover,WX,FD,2
75-10C,WX13H,Holcus,WX,FD,2
76-10D,WX14C,Clover,WX,CF,1
77-10E,WX14H,Holcus,WX,CF,1
78-10F,WX15C,Clover,WX,FD,1
79-10G,WX15H,Holcus,WX,FD,1
80-10H,WX16C,Clover,WX,CC,1
81-11A,WX16H,Holcus,WX,CC,1
82-11B,WX17C,Clover,WX,CF,2
83-11C,WX17H,Holcus,WX,CF,2
84-11D,WX18C,Clover,WX,DD,2
85-11E,WX18H,Holcus,WX,DD,2
86-11F,WX19C,Clover,WX,FC,2
87-11G,WX19H,Holcus,WX,FC,2
88-11H,WX20C,Clover,WX,DF,1
89-12A,WX20H,Holcus,WX,DF,1
90-12B,WX21C,Clover,WX,CC,1
91-12C,WX21H,Holcus,WX,CC,1
92-12D,WX22C,Clover,WX,CC,2
93-12E,WX22H,Holcus,WX,CC,2
94-12F,WX23C,Clover,WX,CD,2
95-1Aa,WX23H,Holcus,WX,CD,2
96-1Bb,WX24C,Clover,WX,CC,2
97-1Cc,WX24H,Holcus,WX,CC,2
98-1Dd,WX25C,Clover,WX,FC,1
99-1Ee,WX25H,Holcus,WX,FC,1
100-1Ff,WX26C,Clover,WX,CD,2
101-1Gg,WX26H,Holcus,WX,CD,2
102-1Hh,WX27C,Clover,WX,CD,1
103-2Aa,WX27H,Holcus,WX,CD,1
104-2Bb,WX28C,Clover,WX,DF,2
105-2Cc,WX28H,Holcus,WX,DF,2
106-2Dd,WX29C,Clover,WX,CD,1
107-2Ee,WX29H,Holcus,WX,CD,1
108-2Ff,WX30C,Clover,WX,DD,2
109-2Gg,WX30H,Holcus,WX,DD,2
110-2Hh,WX31C,Clover,WX,FF,1
111-3Aa,WX31H,Holcus,WX,FF,1
112-3Bb,WX32C,Clover,WX,DC,1
113-3Cc,WX32H,Holcus,WX,DC,1
114-3Dd,WX33C,Clover,WX,FC,1
115-3Ee,WX33H,Holcus,WX,FC,1
116-3Ff,WX34C,Clover,WX,CF,2
117-3Gg,WX35H,Holcus,WX,DF,2
118-3Hh,WX36C,Clover,WX,FD,1
119-4Aa,WX36H,Holcus,WX,FD,1
120-4Bb,WX37C,Clover,WX,FF,2
121-4Cc,WX37H,Holcus,WX,FF,2
122-4Dd,WX39C,Clover,WX,DD,1
123-4Ee,WX39H,Holcus,WX,DD,1
124-4Ff,WX3C,Clover,WX,DC,1
125-4Gg,WX3H,Holcus,WX,DC,1
126-4Hh,WX4C,Clover,WX,FC,2
127-5Aa,WX4H,Holcus,WX,FC,2
128-5Bb,WX5C,Clover,WX,DC,2
129-5Cc,WX5H,Holcus,WX,DC,2
130-5Dd,WX6C,Clover,WX,FD,2
131-5Ee,WX6H,Holcus,WX,FD,2
132-5Ff,WX7C,Clover,WX,DC,2
133-5Gg,WX7H,Holcus,WX,DC,2
134-5Hh,WX8C,Clover,WX,CF,1
135-6Aa,WX8H,Holcus,WX,CF,1
136-6Bb,WX9C,Clover,WX,FF,2
137-6Cc,WX9H,Holcus,WX,FF,2
138-6Dd,LY9C,Clover,LY,DF,2
139-6Ee,LY20H,Holcus,LY,DD,2
140-6Ff,LY21C,Clover,LY,FF,2
